"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Relevance","Abstract"
"Memory Poisoning Attack and Defense on Memory Based LLM-Agents","https://scispace.com/paper/memory-poisoning-attack-and-defense-on-memory-based-llm-cnxqvfbtnfhg","2026","Journal Article","","B. Ratna Sunil
Isheeta Sinha
Piyush Maheshwari
Shantanu Todmal
Shreyan Malik
S. M. Mishra","10.48550/arxiv.2601.05504","","- **Relevance Score:** 92/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Focuses on memory poisoning in LLM agents, uses retrieval‑augmented pipelines, details injection attacks, proposes two defenses, evaluates on multiple models; lacks concrete vector‑store implementation details and systematic size scaling.","Large language model agents equipped with persistent memory are vulnerable to memory poisoning attacks, where adversaries inject malicious instructions through query only interactions that corrupt the agents long term memory and influence future responses. Recent work demonstrated that the MINJA (Memory Injection Attack) achieves over 95 % injection success rate and 70 % attack success rate under idealized conditions. However, the robustness of these attacks in realistic deployments and effective defensive mechanisms remain understudied. This work addresses these gaps through systematic empirical evaluation of memory poisoning attacks and defenses in Electronic Health Record (EHR) agents. We investigate attack robustness by varying three critical dimensions: initial memory state, number of indication prompts, and retrieval parameters. Our experiments on GPT-4o-mini, Gemini-2.0-Flash and Llama-3.1-8B-Instruct models using MIMIC-III clinical data reveal that realistic conditions with pre-existing legitimate memories dramatically reduce attack effectiveness. We then propose and evaluate two novel defense mechanisms: (1) Input/Output Moderation using composite trust scoring across multiple orthogonal signals, and (2) Memory Sanitization with trust-aware retrieval employing temporal decay and pattern-based filtering. Our defense evaluation reveals that effective memory sanitization requires careful trust threshold calibration to prevent both overly conservative rejection (blocking all entries) and insufficient filtering (missing subtle attacks), establishing important baselines for future adaptive defense mechanisms. These findings provide crucial insights for securing memory-augmented LLM agents in production environments. "
"{PoisonedRAG}: Knowledge corruption attacks to {Retrieval-Augmented} generation of large language models","https://scispace.com/paper/E9Vh0e5EmEwJ","","","","W Zou
R Geng
B Wang
J Jia","","https://www.usenix.org/system/files/usenixsecurity25-zou-poisonedrag.pdf","- **Relevance Score:** 82/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses vector store‑based RAG to inject poisoned entries, demonstrating knowledge corruption; includes attacks and some defenses, evaluates on real stores, but lacks agent focus and size‑scale benchmarks.",""
"Human-Imperceptible Retrieval Poisoning Attacks in LLM-Powered
  Applications","https://scispace.com/paper/human-imperceptible-retrieval-poisoning-attacks-in-llm-51twe9p1zq","2024","Preprint","","Quan Zhang
Binqi Zeng
Chijin Zhou
Gwangjun Go
Heyuan Shi
Yu Jiang","10.48550/arxiv.2404.17196","https://scispace.compdf/human-imperceptible-retrieval-poisoning-attacks-in-llm-51twe9p1zq.pdf","- **Relevance Score:** 80/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses retrieval poisoning to inject malicious vectors, targets LLM memory, evaluates attacks on real vector stores, proposes limited defenses, but lacks extensive LLM size benchmarking.","Presently, with the assistance of advanced LLM application development frameworks, more and more LLM-powered applications can effortlessly augment the LLMs' knowledge with external content using the retrieval augmented generation (RAG) technique. However, these frameworks' designs do not have sufficient consideration of the risk of external content, thereby allowing attackers to undermine the applications developed with these frameworks. In this paper, we reveal a new threat to LLM-powered applications, termed retrieval poisoning, where attackers can guide the application to yield malicious responses during the RAG process. Specifically, through the analysis of LLM application frameworks, attackers can craft documents visually indistinguishable from benign ones. Despite the documents providing correct information, once they are used as reference sources for RAG, the application is misled into generating incorrect responses. Our preliminary experiments indicate that attackers can mislead LLMs with an 88.33\% success rate, and achieve a 66.67\% success rate in the real-world application, demonstrating the potential impact of retrieval poisoning. "
"Prompt Injection Attacks in Large Language Models and AI Agent Systems: A Comprehensive Review of Vulnerabilities, Attack Vectors, and Defense …","https://scispace.com/paper/t1DaE6OG9TgJ","","","","S Gulyamov
S Gulyamov
A Rodionov
R Khursanov","","","- **Relevance Score:** 77/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses memory RAG to demonstrate poisoning and prompt injection attacks; discusses vector store role and agent usage; offers limited defense insights; includes some experimental data but lacks extensive real‑store benchmarks and multi‑model scaling.",""
"MemoryGraft: Persistent compromise of LLM agents via poisoned experience retrieval","https://scispace.com/paper/ZVNJhvSqrZ4J","","","","SS Srivastava
H He","","https://arxiv.org/pdf/2512.16962","- **Relevance Score:** 77/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses MemoryGraft to demonstrate persistent memory poisoning via vector‑store injection in RAG‑based LLM agents; proposes limited defenses, evaluates on a real store, but lacks multi‑size LLM benchmarking.",""
"Memory poisoning attacks on retrieval-augmented Large Language Model agents via deceptive semantic reasoning","https://scispace.com/paper/wDnhHr85HJwJ","","","","H Jing
F Li
Y Dong
W Zhou
R Liu","","","- **Relevance Score:** 77/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses deceptive semantic reasoning to poison RAG memory, injects malicious vectors, and tests attacks on LLM agents; proposes limited defenses, evaluates on a single vector store, but lacks multi‑model scaling benchmarks.",""
"Traceback of Poisoning Attacks to Retrieval-Augmented Generation","https://scispace.com/paper/traceback-of-poisoning-attacks-to-retrieval-augmented-ur900m4x8bzu","2025","Journal Article","","Zhang Bao-lei
Xin Hao-ran
Fang, Minghong
Liu ZhuQing
Yi, Biao
Li Tong
Liu Zhe-li","10.48550/arxiv.2504.21668","","- **Relevance Score:** 77/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses RAGForensics to trace poisoned texts, targets vector‑store retrieval, describes injection attacks, offers a detection‑based defense, but focuses on LLMs rather than autonomous agents and lacks extensive real‑store or multi‑size LLM experiments.","Large language models (LLMs) integrated with retrieval-augmented generation (RAG) systems improve accuracy by leveraging external knowledge sources. However, recent research has revealed RAG's susceptibility to poisoning attacks, where the attacker injects poisoned texts into the knowledge database, leading to attacker-desired responses. Existing defenses, which predominantly focus on inference-time mitigation, have proven insufficient against sophisticated attacks. In this paper, we introduce RAGForensics, the first traceback system for RAG, designed to identify poisoned texts within the knowledge database that are responsible for the attacks. RAGForensics operates iteratively, first retrieving a subset of texts from the database and then utilizing a specially crafted prompt to guide an LLM in detecting potential poisoning texts. Empirical evaluations across multiple datasets demonstrate the effectiveness of RAGForensics against state-of-the-art poisoning attacks. This work pioneers the traceback of poisoned texts in RAG systems, providing a practical and promising defense mechanism to enhance their security. Our code is available at: https://github.com/zhangbl6618/RAG-Responsibility-Attribution "
"Memory poisoning and secure multi-agent systems","https://scispace.com/paper/5c3a_F3iMgoJ","","","","V Torra
M Bras-Amorós","","https://arxiv.org/pdf/2603.20357","- **Relevance Score:** 75/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses memory‑poisoning scenarios in RAG‑enabled LLM agents, describes vector‑store injection attacks, and proposes basic mitigations, but lacks extensive real‑store experiments or multi‑model scaling benchmarks.",""
"Practical Poisoning Attacks against Retrieval-Augmented Generation","https://scispace.com/paper/practical-poisoning-attacks-against-retrieval-augmented-z9csd5pqoks2","2025","Journal Article","arXiv.org","Baolei Zhang
Yuxi Chen
Minghong Fang
Zhuqing Liu
Lihai Nie
Tong Li
Zheli Liu","10.48550/arxiv.2504.03957","https://scispace.compdf/practical-poisoning-attacks-against-retrieval-augmented-z9csd5pqoks2.pdf","- **Relevance Score:** 75/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses CorruptRAG to inject poisoned texts into RAG pipelines, showing strong attack success; evaluates a correct‑knowledge defense but focuses on RAG generation rather than autonomous agents, with limited real‑vector‑store experiments and no size‑based benchmarking.",""
"Securing Retrieval-Augmented Generation: A Taxonomy of Attacks, Defenses, and Future Directions","https://scispace.com/paper/Zoxx-TY_UFwJ","","","","Y Xu
M Zhang
Z Ge
H Li
N Hu
Y Zhang","","https://arxiv.org/pdf/2604.08304","- **Relevance Score:** 75/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Provides a comprehensive taxonomy of memory poisoning and injection attacks on vector stores in RAG, and outlines defenses; lacks agent‑specific focus and empirical experiments on real stores or size‑based benchmarks.",""
"RAGPart & RAGMask: Retrieval-Stage Defenses Against Corpus Poisoning in Retrieval-Augmented Generation","https://scispace.com/paper/http://arxiv.org/abs/2512.24268v1","2025","Preprint","","Pankayaraj Pathmanathan
Michael-Andrei Panaitescu-Liess
Cho-Yu Jason Chiang
Furong Huang","","https://arxiv.org/pdf/2512.24268v1","- **Relevance Score:** 75/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses dense retrievers and vector stores to study corpus injection attacks; proposes RAGPart and RAGMask defenses; evaluates on multiple retrievers and benchmarks; does not target autonomous agents or vary LLM sizes.","Retrieval-Augmented Generation (RAG) has emerged as a promising paradigm to enhance large language models (LLMs) with external knowledge, reducing hallucinations and compensating for outdated information. However, recent studies have exposed a critical vulnerability in RAG pipelines corpus poisoning where adversaries inject malicious documents into the retrieval corpus to manipulate model outputs. In this work, we propose two complementary retrieval-stage defenses: RAGPart and RAGMask. Our defenses operate directly on the retriever, making them computationally lightweight and requiring no modification to the generation model. RAGPart leverages the inherent training dynamics of dense retrievers, exploiting document partitioning to mitigate the effect of poisoned points. In contrast, RAGMask identifies suspicious tokens based on significant similarity shifts under targeted token masking. Across two benchmarks, four poisoning strategies, and four state-of-the-art retrievers, our defenses consistently reduce attack success rates while preserving utility under benign conditions. We further introduce an interpretable attack to stress-test our defenses. Our findings highlight the potential and limitations of retrieval-stage defenses, providing practical insights for robust RAG deployments."
"Secure Retrieval-Augmented Generation against Poisoning Attacks","https://scispace.com/paper/secure-retrieval-augmented-generation-against-poisoning-jmx5s3l19tp5","2025","Journal Article","","Cheng Zirui
Sun Jikai
Liu ZhuQing
Hu XiaoHua
Fang, Minghong","10.48550/arxiv.2510.25025","","- **Relevance Score:** 72/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Uses expanded retrieval and chunk-wise perplexity filtering to detect poisoned entries in vector stores, directly addressing injection attacks and proposing non‑parametric defenses; focuses on external knowledge rather than internal LLM memory and does not evaluate across multiple model sizes.","Large language models (LLMs) have transformed natural language processing (NLP), enabling applications from content generation to decision support. Retrieval-Augmented Generation (RAG) improves LLMs by incorporating external knowledge but also introduces security risks, particularly from data poisoning, where the attacker injects poisoned texts into the knowledge database to manipulate system outputs. While various defenses have been proposed, they often struggle against advanced attacks. To address this, we introduce RAGuard, a detection framework designed to identify poisoned texts. RAGuard first expands the retrieval scope to increase the proportion of clean texts, reducing the likelihood of retrieving poisoned content. It then applies chunk-wise perplexity filtering to detect abnormal variations and text similarity filtering to flag highly similar texts. This non-parametric approach enhances RAG security, and experiments on large-scale datasets demonstrate its effectiveness in detecting and mitigating poisoning attacks, including strong adaptive attacks. "
